date,open_price,high_price,low_price,price,volume
2025-06-28,645.9995550778237,645.9995550778237,645.9995550778237,645.9995550778237,506712411.6691133
2025-06-29,648.766805209224,648.766805209224,648.766805209224,648.766805209224,346225669.1301844
2025-06-30,655.0764136195659,655.0764136195659,655.0764136195659,655.0764136195659,422629715.33849674
2025-07-01,657.0109566115938,657.0109566115938,657.0109566115938,657.0109566115938,695153815.9147367
2025-07-02,646.1777891600059,646.1777891600059,646.1777891600059,646.1777891600059,581547247.9770566
2025-07-03,660.0254823640146,660.0254823640146,660.0254823640146,660.0254823640146,758146950.3828626
2025-07-04,663.0154690088326,663.0154690088326,663.0154690088326,663.0154690088326,713062571.7212918
2025-07-05,653.1616270479346,653.1616270479346,653.1616270479346,653.1616270479346,635866546.3146216
2025-07-06,655.9253698398683,655.9253698398683,655.9253698398683,655.9253698398683,367646275.07166517
2025-07-07,663.0185149322261,663.0185149322261,663.0185149322261,663.0185149322261,562060051.2427313
2025-07-08,661.2876967099644,661.2876967099644,661.2876967099644,661.2876967099644,646920102.0613401
2025-07-09,660.7042150664093,660.7042150664093,660.7042150664093,660.7042150664093,659569899.7140087
2025-07-10,669.2613994307441,669.2613994307441,669.2613994307441,669.2613994307441,641678068.1682327
2025-07-11,685.1054482111715,685.1054482111715,685.1054482111715,685.1054482111715,1137433259.720816
2025-07-12,689.8418420972016,689.8418420972016,689.8418420972016,689.8418420972016,1909585413.5492668
2025-07-13,685.4703165458919,685.4703165458919,685.4703165458919,685.4703165458919,1045215775.1037439
2025-07-14,692.0429275667424,692.0429275667424,692.0429275667424,692.0429275667424,827022284.8266991
2025-07-15,689.3152771073793,689.3152771073793,689.3152771073793,689.3152771073793,1871816396.541036
2025-07-16,689.863427315096,689.863427315096,689.863427315096,689.863427315096,1508842031.6879208
2025-07-17,708.5580809732663,708.5580809732663,708.5580809732663,708.5580809732663,1723439341.1205275
2025-07-18,722.3981283678474,722.3981283678474,722.3981283678474,722.3981283678474,2159930031.483713
2025-07-19,729.5149107763856,729.5149107763856,729.5149107763856,729.5149107763856,3421946485.4001713
2025-07-20,732.9272514055848,732.9272514055848,732.9272514055848,732.9272514055848,1435654835.547203
2025-07-21,758.1392224608369,758.1392224608369,758.1392224608369,758.1392224608369,1798602738.0495224
2025-07-22,766.3958790528078,766.3958790528078,766.3958790528078,766.3958790528078,2452658270.4492984
2025-07-23,786.4807204757146,786.4807204757146,786.4807204757146,786.4807204757146,2644910595.3765583
2025-07-24,776.2226902262614,776.2226902262614,776.2226902262614,776.2226902262614,4430495787.544528
2025-07-25,771.2312622168195,771.2312622168195,771.2312622168195,771.2312622168195,2578577950.386883
